Category,Type of Business,Business,Parsed Address,City/State,Zip Code,Phone Number,Longitude,Latitude
Points of Interest,Landmarks,The Village Temple,33,"New York, NY",10003,212-674-2340,-73.99231098,40.73372365
Points of Interest,Landmarks,Con Edison,4,"New York, NY",10003,212-243-1900,-73.98864447,40.73410691
Points of Interest,Landmarks,First Presbyterian Church of the City of New York,12,"New York, NY",10011,212-675-6150,-73.99501794,40.73484781
